[00:00] 欢迎收听赵华宇古货仔第1153集
[48:44] 就是要不断的去检讨
[48:46] 其实你是不是不适合
[48:48] 操作短线跟追逐强势族群
[48:51] 你必须要去做比较稳健
[48:53] 把时间拉长
[48:54] 但是回过头来
[48:55] 如果你就是上半年
[48:57] 该赚的都有赚
[48:58] 第三季当然我要不断重申
[49:01] 绝对没有人可以在最高点跑掉
[49:04] 那应该说你在高点的时候
[49:06] 警觉心有稍微减码
[49:08] 或刚跌破什么的关键点
[49:11] 你就有快速减码
[49:12] 现在下来你又有慢慢加回
[49:14] 你操作都非常顺利
[49:16] 那真的是王中之王
[49:18] 那你就持续做短线没问题
[49:20] 所以我常常讲
[49:21] 这我就一直重申
[49:23] 就是以前都会问我说
[49:25] 我的投资以来的经验
[49:26] 我只能说
[49:27] 我的经验就是最后这个结论
[49:29] 就是投资人该踩的雷我都踩过
[49:33] 该缴的学费我都缴过
[49:34] 那只是差别差在哪里
[49:36] 就是我的个性
[49:37] 就是我只要踩过雷
[49:38] 我每次
[49:39] 我会去检讨
[49:40] 我这次为什么错
[49:42] 所以我会很
[49:43] 想尽办法让我
[49:45] 上一次踩过雷
[49:46] 不要再重犯
[49:47] 是没有错
[49:48] 所以当你时间拉长之后
[49:50] 你自然每一次
[49:51] 缴过的学费
[49:52] 都可以得到教训
[49:53] 你就会越来越进步
[49:55] 那我常常讲
[49:55] 过去都过去了
[49:57] 再哀怨没什么用
[49:58] 从今年这次七月的修正
[50:00] 你到底学到什么东西
[50:03] 那在这次
[50:04] 等于说第二季的追
[50:05] 在往上追涨的过程当中
[50:08] 跟7月的修正
[50:09] 加总来讲
[50:10] 老实讲
[50:11] 其实它指数的修正
[50:13] 其实幅度没有想象的大
[50:15] 但个股的部分
[50:16] 就是很大的一个波动
[50:17] 那你就是可以知道说
[50:19] 你到底属于
[50:20] 哪个方向的这个投资
[50:22] 那应该这样讲
[50:23] 我以前也是从短线强势股
[50:25] 慢慢的就是
[50:26] 发现两个原因
[50:29] 第一个就是慢慢看透
[50:31] 第二个是越来越懒
[50:32] 因为我觉得
[50:33] 这些强势股
[50:34] 可不可以賺到錢是可以的
[50:36] 可是賺到的錢
[50:37] 老實講我自己的操作
[50:39] 我一直覺得我賺的不是很多
[50:41] 所以會有點越來越懶
[50:42] 比例會越來越低
[50:44] 那應該說不是不做
[50:45] 只是那個比例相對比較低
[50:47] 所以會導致我如果要休假
[50:49] 我就把短線的都自己粗清一下
[50:52] 那我都長線的
[50:54] 我就可以兩個禮拜三個禮拜
[50:56] 甚至一個月兩個月
[50:57] 我盤點看都不看
[50:59] 我覺得那個不會影響
[51:01] 我簡單而言
[51:02] 台積電業績很好
[51:03] 不是我盯的
[51:04] 所以我就报价
[51:05] 他一样继续生产
[51:07] 所以我一样可以轻松去度假
[51:08] 那他会负责帮我继续赚钱
[51:12] 这是我的理念
[51:13] 所以我常常讲
[51:13] 经过这样的逻辑
[51:15] 过去都过去
[51:17] 重点是每一次的波动
[51:19] 要找到对自己能够
[51:22] 让自己更强的一个关键点
[51:25] 好
[51:25] 这个是一个很棒的结论
[51:27] 就是波动会到哪里
[51:29] 短线上
[51:30] 没有人说得准
[51:31] 明天要干嘛
[51:32] 当然有人可能是
[51:33] 但不是我们两个人
[51:35] 但是我为什么这段时间
[51:36] 我们在强调
[51:37] 基本面没有改变这件事情
[51:38] 市场也会有一些
[51:40] 比较激进的留言会说
[51:41] 没有改变
[51:42] 没有改变都跌9000点了
[51:43] 但是事实就是事实
[51:45] 但对策和做法
[51:47] 那是另外一个事情
[51:48] 还有就是处理
[51:49] 在股市里面的情绪
[51:51] 这个也是一个事情
[51:52] 因为情绪会影响到
[51:54] 你的决策
[51:54] 对不对
[51:55] 那这一次是所谓的去杠杆
[51:56] 我想也差不多
[51:57] 我们的融资真的减了也蛮多
[51:59] 那韩国看起来波动
[52:00] 有一点告一段落了
[52:02] 真的再怎么狠的
[52:03] 后来等到那个海力士的会长
[52:06] 拿出了相近于一亿台币
[52:08] 去砸他们自己的股票
[52:10] 突然之间记忆体就好像又还好了
[52:12] 我觉得这些分分而老
[52:14] 在未来的一季
[52:15] 我们还是会遇到
[52:17] 可是我们有帮大家先做了一些猜测
[52:20] 但猜测归猜测
[52:21] 我们是立足在基本面
[52:23] 还有刚刚讲的那些大厂的资本支出
[52:26] 不但没有改变
[52:27] 还在增加的路上
[52:28] 而台湾是受惠
[52:30] 这个基础上面
[52:31] 来跟大家做分享的
[52:32] 如果我们投资
[52:33] 没有一个基础
[52:34] 其实你会方向
[52:36] 非常的凌乱
[52:37] 就跟为什么
[52:38] Google跟亚马逊
[52:39] 缴出一样的东西
[52:40] 结果市场的股价
[52:42] 却那么大差异
[52:43] 但这两家都不错
[52:44] 这两家都是好的
[52:46] 都在AI的脚步上面
[52:48] 他们没有落队
[52:48] 他们都在往上走
[52:50] 好 今天很谢谢明翰回来
[52:52] 跟我们又聊了这么多
[52:53] 谢谢
[52:54] 感谢大家
[52:55] 然后也希望你的粉丝团
[52:57] 赶快救回来
[52:58] 我们接下来要处理了
[52:59] 我们数位的人在问我了
[53:00] 好那我们就这一集
[53:02] 古惑仔到这边
[53:03] 今天这一集有可能来不及上字幕
[53:05] 也请大家多多体谅
[53:06] 大家拜拜
[53:08] 拜拜
