[00:00] 欢迎收听赵华宜古惑载第1137集
[45:56] 自然我后面加的股票的钱
[45:58] 就越来越多
[45:59] 但是只要遇到波动的时候
[46:01] 我就回头看到我当年做的配置
[46:03] 我就会觉得对
[46:04] 虽然没有降息
[46:05] 我没有赚到债券的加差
[46:07] 可是在大盘震荡的时候
[46:08] 你会看到有一块
[46:09] 它的息就是
[46:10] 每一季或是甚至每个月
[46:11] 它就会进来你的户头里面
[46:13] 没有什么不好
[46:14] 没有什么不好
[46:15] 这就是配置上面
[46:17] 你在一时半刻
[46:19] 你不觉得你做这个事情是对的
[46:22] 甚至你会后悔
[46:23] 为什么早知道听人家那样讲
[46:25] 我就所有的钱
[46:26] all in在台股的
[46:27] 最标的那一支股票
[46:29] 我的报酬率就100%
[46:30] 可是你现在回头
[46:31] 你就会知道
[46:32] 一连串的累积
[46:33] 你做的任何
[46:35] 当初你的初心
[46:36] 你本来想要的结果
[46:38] 你到底认知到哪里
[46:40] 这件事情
[46:40] 它需要一些时间的检验
[46:42] 你的情绪就不会波动那么大了
[46:45] 麦菲的时候
[46:46] 不会波动那么大
[46:47] 套牢的时候
[46:48] 波动不会那么大
[46:49] 没有长的时候
[46:50] 波动不会那么大
[46:51] 回土的时候
[46:51] 波动不会那么大
[46:52] 我希望这件事情
[46:53] 给这位朋友一个
[46:54] 小小的建议
[46:56] 因为今天听起来
[46:56] 你的状况是比较不理想的
[46:58] 但也可能是因为
[46:59] 你的古龄真的还不算太长
[47:01] 而这两年都顺风顺水
[47:03] 除了去年的对等关税之外
[47:05] 所以我觉得
[47:06] 再来想想你手上要调整的是什么
[47:09] 可能会是现阶段比较重要的事情
[47:12] 好
[47:12] 那今天很谢谢汉玮哥
[47:15] 刚刚说要举一个小例子
[47:16] 就讲得肠热起来
[47:19] 那我们今天的古惑仔就先到这边了
[47:21] 大家拜拜了
[47:22] 好大家拜拜
