[00:00] 欢迎收听赵华依古惑仔第10101集
[44:24] 也不要买在大溢价
[44:26] 因为你的成本就多人家5%
[44:27] 其实溢价的概念就是说
[44:30] 每一个基金或是ETF
[44:31] 它不是买了一箩筐的股票吗
[44:33] 这个股票集合在一起
[44:34] 会有所谓的净值
[44:35] 就是应该的价值
[44:37] 但是市价就不一样了
[44:39] 因为你挂上去
[44:39] 就会有人觉得
[44:40] 我管你现在净值多少
[44:41] 我就是非买到不可
[44:43] 所以它就会离开净值
[44:44] 但是最后一定要回归
[44:46] 这是头信的任务
[44:47] 你不可能让大家
[44:48] 一直在超额的买你的东西
[44:51] 然后你都不供应货
[44:52] 所以就越来越贵
[44:53] 这个是不合理的现象
[44:55] 那折价当然就反过来了
[44:56] 折价的话就是说
[44:58] 它的净值现在10块
[44:59] 可是现在市场上买气比较冷淡
[45:01] 可能就会折到变9.99块这样
[45:03] 不太容易有大幅折价
[45:05] 因为大家没那么傻
[45:07] 东西变便宜
[45:09] 一滴滴大家就会想要去买了
[45:11] 所以大幅折价会出现在
[45:13] 有出问题的东西上面
[45:15] 但大幅一价就不一定了
[45:16] 大幅一价可能筹码供应不足
[45:18] 大家极度乐观
[45:19] 都有可能会出现
[45:21] 好那早上就有朋友就问我说
[45:23] 对啊
[45:23] 那你提醒我们不要追溢价
[45:25] 那我今天看到这一排的ETF
[45:27] 好多档都有点折价
[45:29] 那我是不是就应该
[45:30] 今天买这些折价
[45:31] 就是甜甜价
[45:32] 我就有跟他讲
[45:33] 折价不等于甜甜价
[45:35] 折价只是你没有买
[45:37] 买在不合理的价格
[45:39] 那另外一个是
[45:40] 他去捡了最近暴跌的某档热门股
[45:44] 跌呀跌呀跌呀
[45:45] 觉得跌得差不多了
[45:46] 又听到我们讲说
[45:47] 其实对这个产业
[45:48] 应该还是要有信心
[45:49] 这家公司体制也是好的
[45:50] 只是不得不修正
[45:52] 因为有一些技术上面的设计的改变
[45:56] 对不对
[45:56] 然后可能会有人踩人
[45:58] 因为大家要停损
[45:59] 然后他就去捡了
[46:00] 捡了之后还在叠
[46:01] 感受就不好了
[46:02] 就怎么会这样
[46:03] 不是觉得他还不错吗
[46:05] 为什么还在叠
[46:06] 那我觉得这也是刚布鲁讲的
[46:08] 我就有回复说
[46:09] 其实你在进场前
[46:10] 你一定要想好
[46:11] 为什么要买他
[46:13] 那如果布鲁预期的时候怎么办
[46:14] 我觉得这两个问题很像
[46:16] 就是当遇到
[46:18] 我们听到什么
[46:20] 很多投资人会遇到问题
[46:21] 我们听到很多东西
[46:22] 这个我有兴趣
[46:23] 那我是不是就应该买一下
[46:25] 可是我们与其花时间去理解说
[46:29] 你研究它为什么跌
[46:30] 跌到这边合不合理了
[46:32] 我觉得这种事情都是属于没有答案的
[46:34] 就像赵华说的
[46:36] 核心是我要怎么去规划这件事情
[46:39] 才是最重要的
[46:41] 很多时候我们遇到很多
[46:42] 一般投资人都会是
[46:44] 好就这个了买
[46:45] 然后你
[46:46] 然后呢
[46:48] 怎么跌了
[46:49] 如果涨了怎么办
[46:49] 如果跌了怎么办
[46:50] 你要怎么做
[46:52] 跌了怎么办
[46:52] 对所以我就很喜欢一个比
[46:53] 永远在这样
[46:54] 我常用的比喻
[46:55] 就像是今天
[46:56] 我们要
[46:57] 我要出国去玩
[46:58] 我听赵华说
[46:59] 最近日本那个很好买什么的
[47:01] 我就买机票了
[47:03] 然后我坐飞机到日本
[47:04] 下飞机以后发现
[47:05] 我没有订饭店
[47:06] 我没有排行程
[47:07] 我没有带日币
[47:08] 我没有买回程机票
[47:10] 我什么都没有买
[47:11] 我什么都没有做
[47:11] 而且赵华说很好买的东西
[47:12] 你一点都不喜欢
[47:13] 对然后赵华
[47:14] 跟我想要买的东西去
[47:15] 卖完了
[47:16] 我要去买迷你群
[47:18] 跟布鲁没有关系
[47:19] 对所以很重要的是
[47:21] 我们在日常生活中
[47:23] 大家会很知道说
[47:25] 我要计划好一件事情才做
[47:26] 可是在股市
[47:27] 在投资市场
[47:28] 常常大家就是
[47:29] Oh my
[47:30] 然后没有然后了
[47:32] 跌了怎么办
[47:33] 怎么办
[47:33] 我之后该怎么做
[47:35] 那讲回刚刚就是
[47:37] 溢价
[47:38] 溢价折价的问题
[47:39] 通常ETF的计划
[47:42] 我们市场看比较多
[47:43] 你做ETF的计划都不是
[47:46] 买一笔结束短线
[47:48] 不是吧
[47:49] 通常ETF都是
[47:50] 大部分不是
[47:51] 对
[47:51] 例如说我要持续买进
[47:53] 我有核心部位
[47:54] 对
[47:54] 还是我要怎么去配置
[47:55] 遇到什么事情
[47:56] 我要加码
[47:57] 要什么事情
[47:58] 我要考虑出场
[47:59] 对
[47:59] 你会有一个计划
[48:01] 对
[48:01] 就跟那个暴跌一样
[48:02] 通常如果我在暴跌
[48:05] 要去设计一个规划
[48:08] 去买哪一站股票
[48:09] 通常你一定是分批买进
[48:11] 对吧
[48:12] 因为我不知道
[48:12] 它要跌多久
[48:13] 跌到哪
[48:14] 或许它之后很好
[48:15] 可是它可能再跌个30%
[48:17] 再回来
[48:17] 对
[48:18] 那你无法去了解
[48:20] 这件事情要怎么走
[48:22] 你就只能用你的计划
[48:23] 跟你的所有我们说的策略
[48:25] 去把这件事情补齐
[48:28] 就像是你计划
[48:29] 你要去日本玩
[48:30] 你必须买好回程的机票
[48:31] 订好饭店
[48:32] 安排好行程
[48:33] 跟换好日币
[48:34] 所有事情都做了
[48:35] 你才会出发去日本
[48:36] 好
[48:37] 那像刚刚讲到的ETF
[48:39] 例如说这位朋友
[48:41] 因为我现在没有
[48:41] 把他的问题再度打开来看
[48:43] 但是可能你今天去看
[48:44] 有谁折价
[48:45] 有谁溢价
[48:45] 折价的可能范围很广
[48:47] 也许市值型的也有小折价
[48:48] 也许主动式的也有
[48:50] 也许高股息的也有
[48:51] 可是重点就是在
[48:52] 第一
[48:53] 今天你是不是有一个
[48:54] 你的计划中应该要买的商品
[48:57] 例如你本来就很喜欢高股息
[48:59] 那你本来就预计在
[49:01] 每一个月的20号要扣款
[49:04] 那当然那就是可以评估一下说
[49:06] 如果他今天有大幅的溢价
[49:07] 不要乱买嘛
[49:08] 就是显然不合理
[49:09] 可他今天小幅折价
[49:10] 那很好买起来舒舒服服
[49:12] 或者是你每次看到折价你就买
[49:14] 我也有这个策略
[49:14] 也许maybe
[49:16] 但是你看
[49:16] 如果今天是创新高
[49:18] 但他有点折价
[49:19] 你说它是甜甜价
[49:20] 对
[49:20] 那不是叫甜甜价
[49:22] 你只是没有买在
[49:24] 就是比它合理的价值
[49:25] 更贵而已
[49:26] 可是如果今天是
[49:27] 破月季线买
[49:28] 你可能就会觉得
[49:29] 我今天有点买在甜甜价了
[49:31] 因为已经修正一大段了
[49:33] 所以我觉得应该是
[49:34] 用这样的角度
[49:35] 以及今天所有折价里面
[49:36] 到底哪一些是你本来
[49:37] 就是在今天要买的
[49:38] 这个才是比较重要的
[49:40] 而不是
[49:40] 而不是今天这一排都折价
[49:43] 我觉得现在去买好划算
[49:44] 不是这样的
[49:45] 如果明后天盘不好
[49:47] 例如说它是一个高波动
[49:49] 比较大的科技型的ETF好了
[49:52] 明天它要跌下去
[49:52] 你是不是很懊恼
[49:53] 不是折价了吗
[49:54] 那怎么买了还会跌
[49:55] 这就是观念上面有出现的错误
[49:58] 那至于想要捡股票
[49:59] 那种暴跌型的股票
[50:01] 我也会心动
[50:01] 可是我觉得捡之前
[50:03] 一定要让自己有一个理解
[50:05] 对它现在在暴跌
[50:06] 所以我在接刀
[50:07] 因为它并没有明确的止跌
[50:10] 就算它跌停打开也不叫止跌
[50:12] 因为不代表明天不会跌
[50:13] 我通常会看止跌是暴大量
[50:16] 有人接横盘整理了一段时间
[50:19] 那个才叫做纸叠
[50:21] 我觉得接到最好做法
[50:23] 真的就是分批
[50:24] 对要不就是分批
[50:25] 你原本如果想买一百股
[50:26] 你接第一刀再接第二刀
[50:28] 你分十刀接
[50:29] 每一刀就比较不痛
[50:31] 对在你理解
[50:32] 他应该不是出了大问题
[50:34] 就是说他这家公司
[50:35] 不会弄到下市的情况下
[50:37] 你至少是用摊品成本的方式接
[50:39] 但是这个信念就要很强
[50:41] 没错
[50:41] 所以有时候有的人会说
[50:43] 我宁愿不用买在最低点
[50:45] 我就买在他起涨
[50:46] 或是止跌点
[50:47] 这个是非常非常重要的
[50:48] 那至于哪一档我就不讲了
[50:51] 每一档我觉得都是一样
[50:52] 每一档都是适用的
[50:53] 最近在排面上
[50:54] 你可以看到
[50:55] 虽然跌2000多点而已
[50:56] 不能算是什么大事情
[50:58] 可是又有非常多的股票
[50:59] 是直接已经上到季线了
[51:00] 因为最近高档震荡
[51:02] 对
[51:02] 所以热门股票
[51:03] 有的回档非常的深
[51:04] 那你要不要在季线接一点呢
[51:06] 你的原则是什么
[51:07] 如果季线接了
[51:08] 他还在破季线呢
[51:09] 那你的想法是什么
[51:11] 是再接一笔
[51:11] 还是算了破线我就出场
[51:13] 我觉得这个事情
[51:14] 大家要理解
[51:15] 好
[51:16] 今天也谢谢布鲁
[51:17] 谢谢
[51:18] 也希望大家支持一下
[51:19] 他刚刚宣传的
[51:21] 你是我的AI吗
[51:21] 小朋友学投资
[51:23] 还有他的是风筝投资术
[51:26] 没错
[51:27] 好
[51:27] 那我们就跟古惑仔的朋友说拜拜吧
[51:30] 拜拜
[51:31] 拜拜
