[00:00] 欢迎收听赵华谕古货载第1053集
[45:37] 它换的真的是比较安全牌啦
[45:39] 那安全牌
[45:40] 你要它大涨就相对比较难
[45:41] 但如果说是像七巨头
[45:43] 其实七巨头是真的
[45:44] 最近一年比较没有人青
[45:45] 那就跟我们的老AI一样
[45:47] 以前涨起来的时候
[45:48] 吓死人了
[45:49] 美股为什么会涨到天上去
[45:50] 就是因为他们占全职
[45:51] 好那这一档
[45:52] 985
[45:53] 我又多认识了一档
[45:54] 他是买美股的七巨头
[45:56] 加上台积电ADR
[45:57] 对
[45:57] 未接低
[45:58] 所以我觉得
[45:59] 大家多认识一下这些商品
[46:01] 挺有趣的
[46:02] 真的挺有趣的
[46:03] 那今天很谢谢威良
[46:04] 因为也只有威良
[46:05] 他对ETF的研究非常之深
[46:07] 他早年也是投信出来的
[46:10] 所以各种产品
[46:11] 然后法人的手法
[46:13] 都非常的清楚
[46:14] 也很谢谢跟我们的
[46:15] 股货仔朋友做分享
[46:16] 那我们就跟大家一起说
[46:17] 拜拜咯
[46:18] 拜拜
[46:20] by bwd6
