[00:00] 欢迎收听赵怀股货载第1112集
[48:05] 去决定要不要买
[48:06] 然后呢
[48:07] 如果后面没有涨
[48:09] 从来没有人跟我抱怨
[48:10] 可是后面涨了
[48:12] 永远都会跑来跟我说
[48:14] 他真的有买谢谢
[48:15] 我觉得大家的品都超级好的
[48:17] 所以我觉得这个也是
[48:20] 希望分享给听众朋友
[48:22] 我相信听古破仔的频道
[48:24] 我也看到很多人讲说
[48:25] 是真的从一开始乱买赔钱
[48:27] 到后面是赚不少钱
[48:29] 我非常的为大家开心
[48:31] 但是一定要切记
[48:32] 我们的认知
[48:34] 真的就是这句话
[48:35] 如果是股市新手
[48:37] 我们只是听听牌的话
[48:38] 有赚就可以开心了
[48:40] 那如果你真的很认真
[48:42] 慎重对待您的资产
[48:44] 你的进出场的策略
[48:46] 一定要想清楚
[48:48] 然后这个策略是配合您的个性
[48:51] 而不是去跟别人比较
[48:53] 在这段时间一定是这个样子
[48:55] 那刚刚提到的第二季
[48:56] 我个人认为的在基本面上面
[48:58] 还有资金面上面的一些风险
[49:00] 也给大家做参考
[49:01] 但对我来说
[49:02] 如果这个风险发生
[49:04] 导致比较明显的回挡
[49:05] 我依旧是破月线破季线占买方
[49:09] 因为现在听到的
[49:10] 到下半年
[49:11] 甚至明年上半年的
[49:12] 企业的展望
[49:14] 都还是相对乐观
[49:15] 忘了讲一个事情
[49:16] 博通
[49:17] 他其实财报结出来
[49:18] 是不错的
[49:19] 可是他对下一届的展望
[49:20] 相对是比较保守一些
[49:22] 我觉得这个也是
[49:23] 我比较不乐于听见的
[49:25] 有跟大家分享
[49:25] 现在这些企业的
[49:27] 大巨头的财报
[49:28] 肯定要好之外
[49:30] 展望也要好
[49:31] 因为现在市场的要求
[49:32] 是高的
[49:33] 但是博通
[49:34] 也不是第一次了
[49:35] 博通上一次
[49:36] 他的展望里面
[49:38] 对CPU也是相对比较保守
[49:40] 就是他讲的是实话
[49:42] 他完全讲的是实话
[49:44] 但现在市场上
[49:45] 就是需要像黄仁勋这样子
[49:47] 不管怎样
[49:48] aggressive到一个极点
[49:50] 彤彤我请客
[49:51] 彤彤我请客
[49:52] 台湾会有接驳来令端
[49:54] 下半年很忙
[49:55] 明年更忙
[49:56] 就是要这样
[49:57] 那博通就比较
[49:58] 我觉得比较坦荡荡
[50:00] 但是没有不好
[50:00] 他的财报还是好的
[50:02] 展望就是应该说
[50:04] 没有在给非常非常aggressive的惊喜
[50:06] 但也不是说什么
[50:07] 展望就很淡啊
[50:08] 很差啊
[50:09] 但你可以看到市场的反应
[50:11] 现在就是口味挺重的
[50:14] 台积电的股东会一样
[50:15] 我们都说台积电这段时间
[50:17] 涨得算少的
[50:18] 看看股东会能不能
[50:19] 给大家一点希望
[50:20] 你说魏哲佳有讲到说
[50:22] 就继续买股票就对了
[50:24] 这个已经没有办法刺激大家了
[50:25] 美元营收30%不变
[50:27] 不变就是无聊
[50:29] 可是我觉得股东会
[50:31] 也没有开得不好
[50:32] 我也必须很坦白跟大家讲
[50:34] 都没有不好
[50:35] 普通也没有不好
[50:36] 但是台电有没有不好
[50:38] 只是他们没有办法像黄爸爸
[50:39] 这么样的aggressive的送大家礼物
[50:42] 就这样子而已
[50:43] 所以掌握这一段如果有修正的话
[50:46] 基本面其实没转坏
[50:48] 只是市场的情绪稍微从过热变成说
[50:52] 有一点点冷静下来的话
[50:53] 也是一个在捕获的好时机
[50:56] 以及像韦泰讲的
[50:57] 假设您担心
[50:58] 现在就是让您考虑部分获利了结的好时机
[51:01] 好
[51:02] 那我们今天的古货宅
[51:04] 就先到这边了
[51:05] 那喜欢的话记得存起来
[51:08] 不要再传讯息
[51:09] 问我哪一集讲过什么了
[51:11] 我不会记得
[51:12] 好大家拜拜
[51:13] 谢谢大家
[51:14] 拜拜
