[00:00] 欢迎收听赵华业股货载第1089集
[44:53] 没有人有对错
[44:55] 可是绑在一起
[44:55] 它就是个问题
[44:56] 所以这个
[44:57] 我说每个人自己有自己的烦恼
[45:00] 比较容易解决
[45:01] 但当你的烦恼跟别人绑在一起的时候
[45:03] 就比较难解决了
[45:05] 对啊
[45:06] 所以我觉得其实因为现在
[45:07] 大家那种FOMO感很重
[45:09] 所以我觉得现在大家的心态
[45:11] 就是说怎么样赚得更快
[45:13] 怎么样赚得比别人更多
[45:14] 那我就分享我自己的例子
[45:15] 我当初进这个股票圈的时候
[45:19] 在2007年
[45:21] 然后是先从营业员开始做起的
[45:23] 然后进营业员那时候
[45:24] 其实因为股市已经到了陌生段
[45:26] 所以那时候其实业绩也不太好做
[45:29] 所以我们大部分营业员都当自营商
[45:31] 就是自己去交易股票
[45:33] 因为消息多
[45:34] 那我还印象很深是
[45:36] 遇到那时候进入海啸之前
[45:38] 我带有两档股票
[45:39] 是每天在涨银板的
[45:41] 一档叫做伪全店
[45:42] 一档叫做超重
[45:44] 那时候还不是尼德科超重
[45:46] 是散热当中的股王
[45:47] 超重
[45:48] 还不是尼德科超重
[45:50] 对
[45:50] 那时候其实台湾最厉害的散热股票
[45:52] 就是超重
[45:53] 然后那时候就是
[45:54] 刚进去的时候
[45:55] 我记得好像赚两根三根掌停板
[45:57] 那时候就是因为小菜鸡
[45:58] 所以就会拿这个
[46:00] 计算机在计算
[46:02] 如果今天掌停板
[46:03] 我今天每天开房
[46:04] 可以预期涨多少钱
[46:05] 就没想到后面
[46:07] 一遇到反转的时候
[46:08] 开始出现百家股票跌停板
[46:10] 我的股票开始就从掌停板变跌停
[46:13] 跌停面赔钱
[46:13] 配件之后开始做权证
[46:15] 所以要跟大家讲就是说
[46:16] 你现在在
[46:17] 然后现在在工商时报好像周冠军
[46:20] 有人传你的简报给我
[46:22] 我两周冠军
[46:24] 恭喜恭喜
[46:25] 不好意思
[46:26] 对我的意思就是说
[46:28] 现在大家可能在
[46:30] 就是说好像你理财型房贷
[46:33] 或重压这些杠杆
[46:34] 你可能过一段时间
[46:35] 我只要不要多一个月的报酬率10%
[46:38] 我都可以把房贷还完了
[46:40] 可能我这个累积下去
[46:41] 一年可以50%的报酬率
[46:42] 所以现在开蛋港是没有问题的
[46:45] 就像刚刚讲的
[46:45] 你现在是以这个
[46:47] 你好像一定会去计算你的胜率
[46:50] 但你要反过来
[46:51] 我们讲说像华尔街会做压力测试
[46:53] 你要做一个极端值
[46:55] 如果你真的遇到
[46:56] 像台股今天涨1800点
[46:57] 那如果今天是涨1800点
[46:59] 再跌1800点
[47:00] 如果一天3600点的震荡
[47:03] 你的这个干港
[47:04] 能够撑得住这样的一个震荡幅度吗
[47:06] 如果没有的话
[47:08] 我觉得你没有这样的一个心理准备
[47:09] 可能就不要把干港抬得太大
[47:11] 因为在涨的时候
[47:12] 大家都觉得一定会赚钱
[47:14] 但遇到赔的时候
[47:15] 你就会因为你太过相信会赚钱
[47:17] 而没有办法为你的部位抱住
[47:20] 好那我以前也很充
[47:21] 有跟大家分享过
[47:23] 那最近啊
[47:23] 就是跟达人们在聊天的时候
[47:25] 我也难免会想到
[47:26] 我现在怎么变得比以前保守了
[47:29] 我以前真的好充
[47:31] 然后我也借过理财新房贷
[47:34] 而且那时候利率
[47:35] 其实也没有很高
[47:36] 我记得好像也是3%附近
[47:38] 因为现在有再调升的关系
[47:40] 一度前面其实有很低的时候
[47:42] 但我那时候借
[47:43] 我记得也是3%多的时候
[47:45] 3%吧
[47:46] 然后我记得
[47:47] 我借了250万
[47:48] 其实你现在看起来
[47:49] 250万不多
[47:50] 可是对当时的我来说
[47:52] 已经算是蛮多了
[47:53] 因为我能够比较早买房子
[47:56] 其实第一是
[47:57] 我有养很多流浪猫
[47:58] 我不晓得大家还记不记得
[47:59] 这件事情
[47:59] 我本来是觉得
[48:00] 哎呀射手座
[48:01] 一辈子租房子也没关系
[48:03] 那时候没有那种
[48:04] 说老了会住不到房子
[48:05] 那种想法
[48:06] 那时候觉得老了
[48:07] 就回屏东养老
[48:08] 可是因为我养流浪猫
[48:10] 房东都不肯把房子租给我
[48:12] 所以我就早早卖房子
[48:13] 那可是那时候
[48:14] 我的薪水其实很低的
[48:16] 我那时候当记者的时候
[48:17] 是还不到三万块钱的起薪
[48:19] 然后再慢慢加上来的
[48:20] 可是因为我有存到一小笔钱
[48:22] 所以那一小笔钱
[48:23] 就像现在有很多的小资族
[48:25] 可能想翻身一样
[48:26] 可能从十万翻到一百万
[48:28] 只是半年的时间
[48:29] 对不用到半年
[48:30] 就很敢啊
[48:31] 就是人家抱我什么牌
[48:34] 就是用融资买满
[48:36] 对那时候还不懂得用期货
[48:38] 就融资买满这样子
[48:39] 所以后来就翻得很快
[48:40] 然后等到买到房子之后
[48:42] 就立刻办理财新房贷
[48:44] 再借出来投
[48:45] 所以那时候是很冲很冲很冲
[48:47] 然后现在想想
[48:48] 我怎么没有当时的勇气了
[48:50] 可是呢
[48:51] 这就是选择
[48:52] 因为后面我的工作
[48:53] 我的工作来自于本业的收入
[48:56] 来自于我之前
[48:57] 就是因为在股票市场
[48:58] 也有些累积
[48:59] 所以它的部位变大了
[49:01] 部位变大的时候
[49:02] 你反而就比较
[49:03] 没有关系啦
[49:04] 你就赚自己里面的钱
[49:06] 你不要导致大赔
[49:07] 因为现在的大赔的
[49:08] 那个伤害是大的
[49:09] 是极大的
[49:10] 对
[49:11] 所以就是每一个人
[49:13] 在每一个人的阶段
[49:14] 一定会有不一样的想法
[49:16] 所以我才会说没有对错
[49:17] 要是我没有当时
[49:18] 开杠杆用融资压满
[49:20] 而且我还印象好深
[49:21] 我那时候在团队里面最年轻
[49:24] 然后很多哥哥姐姐也很猛会教我
[49:26] 但是也有一些来拜访的
[49:28] 也是做理财的
[49:29] 也是现在坊间有名的
[49:31] 理财达人的前辈了
[49:32] 他们就会说妹妹
[49:34] 那时候才被叫妹妹
[49:35] 现在都被叫姐姐
[49:36] 他们就说
[49:38] 妹妹你好夸张
[49:39] 因為我不但之前人家可能會教我
[49:41] 但後來我會聽
[49:42] 我聽到人家講我就買了
[49:44] 他也不是來跟我講
[49:45] 他在旁邊討論
[49:46] 最近什麼什麼概念股好猛喔
[49:48] 然後雖然一Piece沒跟上
[49:50] 可是就本夢比
[49:51] 管他的就買了
[49:52] 220買
[49:53] 280賣掉
[49:54] 管他的三天就
[49:56] 四五天就賺到了什麼的
[49:58] 對
[49:58] 然後
[49:58] 所以那個來拜訪的人就說
[50:01] 妹妹你好誇張
[50:02] 我說不會啊
[50:03] 我覺得很好賺
[50:03] 我真的這麼講
[50:05] 我說我覺得很好賺
[50:06] 我聽到你們講我就買
[50:07] 然後幾天後
[50:09] 我管我是赚10%20%
[50:10] 反正我有赚
[50:11] 我就把它卖掉了
[50:12] 对
[50:12] 可是现在的我绝对不敢这样
[50:15] 变成姐姐了就不敢了
[50:18] 所以这个就是每个人
[50:19] 在每个人的规划里面
[50:22] 或是甚至我必须讲
[50:23] 悬一点你有你的运啊
[50:24] 对那时候运可能就是
[50:26] 让你觉得好顺风顺水
[50:27] 而且后来因为这样做
[50:29] 所以我有做停利嘛
[50:30] 我就也没有想卖飞不卖飞
[50:32] 结果后来遇到比较大的崩盘的时候
[50:34] 因为我有停利
[50:35] 所以我在股票户头里
[50:36] 剩下那些赔很惨的
[50:38] 根本就不在乎
[50:38] 但那都当时
[50:40] 现在我会觉得
[50:41] 摆在那边你都不管
[50:42] 是不对的
[50:43] 你要学会
[50:44] 还是要出调啊什么的
[50:46] 怎么又回忆起来了
[50:48] 对啊
[50:49] 所以我觉得
[50:50] 但以现在的行情
[50:52] 就是大家顺着市区做
[50:54] 你也不用预设太多立场
[50:55] 但最少最少都一定要保有
[50:58] 自己资金的弹性
[50:59] 我觉得这是应该
[51:00] 最后给大家的一个建议
[51:01] 好
[51:02] 那今天很谢谢汉玮哥
[51:04] 其实台股涨到这个阶段
[51:05] 有时候已经不是
[51:06] 报名牌的问题了
[51:08] 有时候都是真的
[51:09] 因为所有的马都在跑
[51:12] 今年马年嘛
[51:14] 所有马都在跑
[51:14] 应该说所有的
[51:16] 只要沾到题材的马都在跑
[51:18] 对
[51:19] 所以就是看大家资金控管的能力
[51:21] 和承担度了
[51:22] 好
[51:23] 那我们今天的古惑仔就到这边了
[51:25] 大家拜拜
[51:25] 拜拜
